"","method","rep","rmse","rmse.off","kl.div","auroc","sen","spe","pre","recall","acc","f1","fdr","converged","run.time","dgp"
"5514","cv.loglik",38,0.239791970848213,0.994091133621635,7.65559756707327,0.780160169491525,0.561666666666667,0.935841807909604,0.106108312342569,0.561666666666667,0.930836120401338,0.178495762711864,0.893891687657431,TRUE,67.1648199558258,"hub5_p300_n500_diag0_R50"
"5515","huge.tiger",38,0.832647366602385,0.970072226966724,99.1975897308313,0.600833333333333,0.201666666666667,1,1,0.201666666666667,0.989319955406912,0.335644937586685,0,TRUE,0.847400665283203,"hub5_p300_n500_diag0_R50"
"5516","pcglasso",38,0.222454149772307,0.925985727483069,10.4355214392817,0.633333333333333,0.266666666666667,1,1,0.266666666666667,0.990189520624303,0.421052631578947,0,TRUE,525.504771471024,"hub5_p300_n500_diag0_R50"
"5517","large",39,0.200609497124909,0.870193061415855,7.9667281887703,0.805783389830509,0.611666666666667,0.992361581920904,0.520567375886525,0.611666666666667,0.98726867335563,0.562452107279694,0.479432624113475,TRUE,610.577931642532,"hub5_p300_n500_diag0_R50"
"5518","huge.ebic",39,0.243115665881849,0.999323364685176,10.3815870721582,0.613293898305085,0.226666666666667,0.999638418079096,0.894736842105263,0.226666666666667,0.989297658862876,0.361702127659574,0.105263157894737,TRUE,3.45768404006958,"hub5_p300_n500_diag0_R50"
"5519","huge.ric",39,0.243177478231164,0.999589189860722,10.8159915403949,0.584166440677966,0.168333333333333,0.999954802259887,0.980582524271845,0.168333333333333,0.988829431438127,0.287339971550498,0.0194174757281553,TRUE,6.18663454055786,"hub5_p300_n500_diag0_R50"
"5520","huge.stars",39,0.242265220484967,0.995731080711869,8.02714479493488,0.751159529190207,0.503333333333333,0.971706214689266,0.194337194337194,0.503333333333333,0.965440356744705,0.280408542246982,0.805662805662806,TRUE,95.025691986084,"hub5_p300_n500_diag0_R50"
"5521","cv.loglik",39,0.24242807535297,0.996400103883154,8.27822037054361,0.739667193973635,0.48,0.980180790960452,0.247210300429185,0.48,0.973489409141583,0.326345609065156,0.752789699570815,TRUE,68.0519661903381,"hub5_p300_n500_diag0_R50"
"5522","huge.tiger",39,0.832158741439872,0.96952736658555,99.0602376484639,0.595,0.19,1,1,0.19,0.989163879598662,0.319327731092437,0,TRUE,0.761789083480835,"hub5_p300_n500_diag0_R50"
"5523","pcglasso",39,0.222818243570875,0.918792225349214,10.5436943893195,0.634166666666667,0.268333333333333,1,1,0.268333333333333,0.990211817168339,0.423127463863338,0,TRUE,481.388250350952,"hub5_p300_n500_diag0_R50"
"5524","large",40,0.199379501704873,0.863078780326485,7.90770744755852,0.814985216572505,0.63,0.991141242937853,0.490909090909091,0.63,0.986309921962096,0.551824817518248,0.509090909090909,TRUE,371.0714635849,"hub5_p300_n500_diag0_R50"
"5525","huge.ebic",40,0.243096919187163,0.999466439697603,10.5604799074729,0.595009039548023,0.19,0.99993220338983,0.974358974358974,0.19,0.989096989966555,0.317991631799163,0.0256410256410256,TRUE,2.76349782943726,"hub5_p300_n500_diag0_R50"
"5526","huge.ric",40,0.243126902296855,0.999595217676403,10.7915745567191,0.587509322033898,0.175,0.999977401129943,0.990566037735849,0.175,0.988940914158305,0.297450424929178,0.00943396226415094,TRUE,5.87171339988708,"hub5_p300_n500_diag0_R50"
"5527","huge.stars",40,0.242328331271442,0.996196663937266,8.10507585657379,0.74334011299435,0.49,0.979864406779661,0.248101265822785,0.49,0.973311036789298,0.329411764705882,0.751898734177215,TRUE,77.1490113735199,"hub5_p300_n500_diag0_R50"
"5528","cv.loglik",40,0.24164563792577,0.993527815587229,7.8167381989675,0.789682354048964,0.585,0.915435028248588,0.0857561690691424,0.585,0.911014492753623,0.149584487534626,0.914243830930858,TRUE,60.2001550197601,"hub5_p300_n500_diag0_R50"
"5529","huge.tiger",40,0.832501225330136,0.970135486706058,98.9843202934346,0.593333333333333,0.186666666666667,1,1,0.186666666666667,0.989119286510591,0.314606741573034,0,TRUE,0.908509969711304,"hub5_p300_n500_diag0_R50"
"5530","pcglasso",40,0.223527861727733,0.922426901370961,10.5382649180346,0.6325,0.265,1,1,0.265,0.990167224080268,0.41897233201581,0,TRUE,600.914720535278,"hub5_p300_n500_diag0_R50"
"5531","large",41,0.201793407312105,0.879057750078134,7.81226333506928,0.812303766478343,0.625,0.992768361581921,0.539568345323741,0.625,0.987848383500557,0.579150579150579,0.460431654676259,TRUE,219.591481208801,"hub5_p300_n500_diag0_R50"
"5532","huge.ebic",41,0.240240304916961,0.999414775208581,10.4681773194103,0.60165747645951,0.203333333333333,0.999977401129943,0.991869918699187,0.203333333333333,0.989319955406912,0.337482710926694,0.00813008130081301,TRUE,1.27071380615234,"hub5_p300_n500_diag0_R50"
